method,run_id,time,source,target,hop_count
classic_baseline,1,71.0,94,69,1
classic_baseline,1,72.0,77,28,6
classic_baseline,1,72.0,62,28,7
classic_baseline,1,72.0,34,55,6
classic_baseline,1,72.0,62,3,3
classic_baseline,1,72.0,49,43,4
classic_baseline,1,73.0,85,86,4
classic_baseline,1,73.0,51,92,5
classic_baseline,1,73.0,21,59,1
classic_baseline,1,73.0,16,79,7
classic_baseline,1,73.0,68,3,5
classic_baseline,1,74.0,50,75,4
classic_baseline,1,74.0,72,84,5
classic_baseline,1,74.0,3,10,5
classic_baseline,1,74.0,82,54,3
classic_baseline,1,74.0,17,59,3
classic_baseline,1,75.0,23,6,3
classic_baseline,1,75.0,33,48,2
classic_baseline,1,75.0,41,27,6
classic_baseline,1,75.0,58,41,6
classic_baseline,1,75.0,43,97,5
classic_baseline,1,76.0,48,35,5
classic_baseline,1,76.0,96,53,4
classic_baseline,1,76.0,32,10,6
classic_baseline,1,76.0,60,2,1
classic_baseline,1,76.0,95,69,4
classic_baseline,1,77.0,6,44,4
classic_baseline,1,77.0,28,83,4
classic_baseline,1,77.0,8,99,8
classic_baseline,1,77.0,83,5,4
classic_baseline,1,77.0,96,3,4
classic_baseline,1,78.0,31,25,3
classic_baseline,1,78.0,2,79,5
classic_baseline,1,78.0,19,30,2
classic_baseline,1,78.0,16,60,2
classic_baseline,1,78.0,85,14,6
classic_baseline,1,79.0,72,27,1
classic_baseline,1,79.0,59,89,2
classic_baseline,1,79.0,47,21,4
classic_baseline,1,79.0,77,95,4
classic_baseline,1,79.0,91,14,3
classic_baseline,1,80.0,99,20,2
classic_baseline,1,80.0,39,13,4
classic_baseline,1,80.0,74,3,2
classic_baseline,1,80.0,39,73,5
classic_baseline,1,80.0,86,48,4
classic_baseline,1,81.0,50,91,2
classic_baseline,1,81.0,25,9,4
classic_baseline,1,81.0,80,31,4
classic_baseline,1,81.0,13,89,2
classic_baseline,1,81.0,87,76,3
classic_baseline,1,82.0,15,72,6
classic_baseline,1,82.0,5,44,2
classic_baseline,1,82.0,68,54,4
classic_baseline,1,82.0,84,47,2
classic_baseline,1,82.0,8,64,5
classic_baseline,1,83.0,82,43,5
classic_baseline,1,83.0,1,53,1
classic_baseline,1,83.0,62,13,2
classic_baseline,1,83.0,55,46,3
classic_baseline,1,83.0,90,19,5
classic_baseline,1,84.0,93,66,4
classic_baseline,1,84.0,78,68,2
classic_baseline,1,84.0,93,75,2
classic_baseline,1,84.0,35,57,6
classic_baseline,1,84.0,31,96,3
classic_baseline,1,85.0,59,72,4
classic_baseline,1,85.0,78,85,4
classic_baseline,1,85.0,48,43,2
classic_baseline,1,85.0,3,63,2
classic_baseline,1,85.0,41,23,8
classic_baseline,1,86.0,62,27,4
classic_baseline,1,86.0,45,33,2
classic_baseline,1,86.0,43,35,6
classic_baseline,1,86.0,76,89,2
classic_baseline,1,86.0,35,71,5
classic_baseline,1,87.0,1,66,6
classic_baseline,1,87.0,24,10,5
classic_baseline,1,87.0,30,92,5
classic_baseline,1,87.0,52,62,5
classic_baseline,1,87.0,71,97,4
classic_baseline,1,88.0,30,88,3
classic_baseline,1,88.0,60,82,4
classic_baseline,1,88.0,91,62,3
classic_baseline,1,88.0,57,2,1
classic_baseline,1,88.0,11,37,5
classic_baseline,1,89.0,28,51,1
classic_baseline,1,89.0,88,31,4
classic_baseline,1,89.0,39,84,4
classic_baseline,1,89.0,74,47,1
classic_baseline,1,89.0,60,70,1
classic_baseline,1,90.0,67,44,3
classic_baseline,1,90.0,54,95,1
classic_baseline,1,90.0,70,42,2
classic_baseline,1,90.0,45,89,1
classic_baseline,1,90.0,39,32,3
classic_baseline,1,91.0,29,15,8
classic_baseline,1,91.0,92,24,4
classic_baseline,1,91.0,40,15,6
classic_baseline,1,91.0,95,68,4
classic_baseline,1,91.0,97,88,5
classic_baseline,1,92.0,23,24,8
classic_baseline,1,92.0,27,94,3
classic_baseline,1,92.0,92,75,5
classic_baseline,1,92.0,97,67,4
classic_baseline,1,92.0,12,24,2
classic_baseline,1,93.0,37,29,7
classic_baseline,1,93.0,46,22,5
classic_baseline,1,93.0,38,1,2
classic_baseline,1,93.0,90,68,8
classic_baseline,1,93.0,16,35,6
classic_baseline,1,94.0,5,6,2
classic_baseline,1,94.0,70,37,3
classic_baseline,1,94.0,89,16,6
classic_baseline,1,94.0,81,96,4
classic_baseline,1,94.0,62,13,3
classic_baseline,1,95.0,1,73,8
classic_baseline,1,95.0,36,60,3
classic_baseline,1,95.0,61,56,2
classic_baseline,1,95.0,43,23,5
classic_baseline,1,95.0,6,32,6
classic_baseline,1,96.0,61,14,8
classic_baseline,1,96.0,8,51,3
classic_baseline,1,96.0,62,9,2
classic_baseline,1,96.0,73,80,5
classic_baseline,1,96.0,87,6,3
classic_baseline,1,97.0,19,72,6
classic_baseline,1,97.0,38,10,6
classic_baseline,1,97.0,31,15,3
classic_baseline,1,97.0,71,97,5
classic_baseline,1,97.0,53,77,4
classic_baseline,1,98.0,76,79,7
classic_baseline,1,98.0,28,99,7
classic_baseline,1,98.0,66,48,2
classic_baseline,1,98.0,57,56,6
classic_baseline,1,98.0,38,75,4
classic_baseline,1,99.0,54,39,5
classic_baseline,1,99.0,72,79,5
classic_baseline,1,99.0,7,78,4
classic_baseline,1,99.0,94,12,5
classic_baseline,1,99.0,97,26,4
classic_baseline,1,100.0,80,27,1
classic_baseline,1,100.0,33,84,4
classic_baseline,1,100.0,10,20,8
classic_baseline,1,100.0,30,22,4
classic_baseline,1,100.0,70,9,3
classic_baseline,1,101.0,20,0,6
classic_baseline,1,101.0,52,57,3
classic_baseline,1,101.0,88,76,5
classic_baseline,1,101.0,60,37,3
classic_baseline,1,101.0,4,29,9
classic_baseline,1,102.0,36,90,9
classic_baseline,1,102.0,36,89,5
classic_baseline,1,102.0,58,9,1
classic_baseline,1,102.0,87,29,5
classic_baseline,1,102.0,33,80,6
classic_baseline,1,103.0,75,84,4
classic_baseline,1,103.0,25,54,1
classic_baseline,1,103.0,14,69,7
classic_baseline,1,103.0,28,82,1
classic_baseline,1,103.0,18,9,7
classic_baseline,1,104.0,7,21,4
classic_baseline,1,104.0,39,76,4
classic_baseline,1,104.0,95,72,3
classic_baseline,1,104.0,36,56,8
classic_baseline,1,104.0,15,59,4
classic_baseline,1,105.0,88,38,7
classic_baseline,1,105.0,89,51,3
classic_baseline,1,105.0,69,63,4
classic_baseline,1,105.0,56,10,7
classic_baseline,1,105.0,76,5,4
classic_baseline,1,106.0,55,94,6
classic_baseline,1,106.0,41,77,5
classic_baseline,1,106.0,32,3,2
classic_baseline,1,106.0,11,29,9
classic_baseline,1,106.0,86,73,6
classic_baseline,1,107.0,75,2,1
classic_baseline,1,107.0,97,86,5
classic_baseline,1,107.0,34,73,7
classic_baseline,1,107.0,5,97,3
classic_baseline,1,107.0,96,22,7
classic_baseline,1,108.0,60,66,4
classic_baseline,1,108.0,83,56,7
classic_baseline,1,108.0,74,55,6
classic_baseline,1,108.0,81,62,3
classic_baseline,1,108.0,11,60,9
classic_baseline,1,109.0,44,52,1
classic_baseline,1,109.0,42,41,4
classic_baseline,1,109.0,85,13,6
classic_baseline,1,109.0,20,42,5
classic_baseline,1,109.0,52,88,2
classic_baseline,1,110.0,63,36,4
classic_baseline,1,110.0,84,51,5
classic_baseline,1,110.0,97,70,1
classic_baseline,1,110.0,4,58,3
classic_baseline,1,110.0,11,40,5
classic_baseline,1,111.0,32,41,3
classic_baseline,1,111.0,14,98,4
classic_baseline,1,111.0,51,65,2
classic_baseline,1,111.0,0,84,5
classic_baseline,1,111.0,69,59,6
classic_baseline,1,112.0,52,6,3
classic_baseline,1,112.0,24,66,1
classic_baseline,1,112.0,46,79,4
classic_baseline,1,112.0,96,63,8
classic_baseline,1,112.0,80,56,5
classic_baseline,1,113.0,97,6,3
classic_baseline,1,113.0,70,16,6
classic_baseline,1,113.0,36,56,6
classic_baseline,1,113.0,89,62,2
classic_baseline,1,113.0,15,3,5
classic_baseline,1,114.0,80,77,6
classic_baseline,1,114.0,20,39,6
classic_baseline,1,114.0,70,1,7
classic_baseline,1,114.0,70,52,4
classic_baseline,1,114.0,14,59,2
classic_baseline,1,115.0,15,82,6
classic_baseline,1,115.0,19,63,7
classic_baseline,1,115.0,91,37,5
classic_baseline,1,115.0,65,90,6
classic_baseline,1,115.0,61,60,2
classic_baseline,1,116.0,31,58,1
classic_baseline,1,116.0,70,18,4
classic_baseline,1,116.0,49,24,2
classic_baseline,1,116.0,76,65,1
classic_baseline,1,116.0,98,53,5
classic_baseline,1,117.0,43,64,6
classic_baseline,1,117.0,36,92,4
classic_baseline,1,117.0,38,75,2
classic_baseline,1,117.0,74,84,10
classic_baseline,1,117.0,62,19,5
classic_baseline,1,118.0,57,68,1
classic_baseline,1,118.0,61,44,3
classic_baseline,1,118.0,42,70,3
classic_baseline,1,118.0,97,69,9
classic_baseline,1,118.0,48,58,2
classic_baseline,1,119.0,41,24,4
classic_baseline,1,119.0,89,30,7
classic_baseline,1,119.0,73,49,5
classic_baseline,1,119.0,29,99,3
classic_baseline,1,119.0,52,5,1
classic_baseline,1,120.0,60,90,7
classic_baseline,1,120.0,48,49,2
classic_baseline,1,120.0,84,83,6
classic_baseline,1,120.0,19,63,7
classic_baseline,1,120.0,64,75,5
classic_baseline,1,121.0,42,12,3
classic_baseline,1,121.0,56,12,3
classic_baseline,1,121.0,67,58,4
classic_baseline,1,121.0,1,92,5
classic_baseline,1,121.0,18,52,2
classic_baseline,1,122.0,83,19,1
classic_baseline,1,122.0,9,60,2
classic_baseline,1,122.0,33,43,5
classic_baseline,1,122.0,79,88,4
classic_baseline,1,122.0,50,83,7
classic_baseline,1,123.0,10,42,5
classic_baseline,1,123.0,86,68,4
classic_baseline,1,123.0,48,40,5
classic_baseline,1,123.0,80,91,3
classic_baseline,1,123.0,97,62,5
classic_baseline,1,124.0,69,4,10
classic_baseline,1,124.0,79,8,3
classic_baseline,1,124.0,30,80,3
classic_baseline,1,124.0,87,36,2
classic_baseline,1,124.0,29,95,7
classic_baseline,1,125.0,11,55,9
classic_baseline,1,125.0,12,97,5
classic_baseline,1,125.0,81,90,7
classic_baseline,1,125.0,12,56,2
classic_baseline,1,125.0,21,88,1
classic_baseline,1,126.0,38,3,6
classic_baseline,1,126.0,5,41,3
classic_baseline,1,126.0,7,37,7
classic_baseline,1,126.0,45,47,3
classic_baseline,1,126.0,55,18,6
classic_baseline,1,127.0,31,67,5
classic_baseline,1,127.0,52,72,2
classic_baseline,1,127.0,87,23,6
classic_baseline,1,127.0,21,22,3
classic_baseline,1,127.0,10,78,4
classic_baseline,1,128.0,48,79,7
classic_baseline,1,128.0,87,30,1
classic_baseline,1,128.0,63,74,3
classic_baseline,1,128.0,18,29,9
classic_baseline,1,128.0,59,81,1
classic_baseline,1,129.0,1,59,7
classic_baseline,1,129.0,36,86,3
classic_baseline,1,129.0,9,56,2
classic_baseline,1,129.0,44,75,1
classic_baseline,1,129.0,38,81,3
classic_baseline,1,130.0,54,88,7
classic_baseline,1,130.0,38,25,3
classic_baseline,1,130.0,49,61,2
classic_baseline,1,130.0,13,30,3
classic_baseline,1,130.0,48,73,6
classic_baseline,1,131.0,45,73,5
classic_baseline,1,131.0,37,89,3
classic_baseline,1,131.0,37,2,5
classic_baseline,1,131.0,84,50,6
classic_baseline,1,131.0,72,87,4
classic_baseline,1,132.0,99,95,5
classic_baseline,1,132.0,6,77,4
classic_baseline,1,132.0,95,63,1
classic_baseline,1,132.0,36,99,2
classic_baseline,1,132.0,45,28,3
classic_baseline,1,133.0,81,24,7
classic_baseline,1,133.0,86,96,4
classic_baseline,1,133.0,92,98,3
classic_baseline,1,133.0,84,87,6
classic_baseline,1,133.0,17,80,5
classic_baseline,1,134.0,12,80,4
classic_baseline,1,134.0,82,5,1
classic_baseline,1,134.0,39,56,5
classic_baseline,1,134.0,4,74,5
classic_baseline,1,134.0,46,93,1
classic_baseline,1,135.0,16,11,3
classic_baseline,1,135.0,37,41,3
classic_baseline,1,135.0,95,53,6
classic_baseline,1,135.0,22,25,1
classic_baseline,1,135.0,16,69,5
classic_baseline,1,136.0,46,67,1
classic_baseline,1,136.0,64,34,5
classic_baseline,1,136.0,21,32,4
classic_baseline,1,136.0,61,37,2
classic_baseline,1,136.0,95,43,5
classic_baseline,1,137.0,14,59,5
classic_baseline,1,137.0,9,18,5
classic_baseline,1,137.0,96,28,1
classic_baseline,1,137.0,86,92,4
classic_baseline,1,137.0,86,50,4
classic_baseline,1,138.0,71,46,4
classic_baseline,1,138.0,11,50,6
classic_baseline,1,138.0,1,33,6
classic_baseline,1,138.0,68,15,5
classic_baseline,1,138.0,58,47,9
classic_baseline,1,139.0,86,95,10
classic_baseline,1,139.0,86,33,11
classic_baseline,1,139.0,74,48,5
classic_baseline,1,139.0,81,47,9
classic_baseline,1,139.0,13,86,9
classic_baseline,1,140.0,29,60,10
classic_baseline,1,140.0,3,79,2
classic_baseline,1,140.0,71,41,5
classic_baseline,1,140.0,78,28,3
classic_baseline,1,140.0,82,8,6
classic_baseline,1,141.0,81,59,5
classic_baseline,1,141.0,89,38,5
classic_baseline,1,141.0,83,52,4
classic_baseline,1,141.0,14,17,2
classic_baseline,1,141.0,5,4,3
classic_baseline,1,142.0,38,63,5
classic_baseline,1,142.0,14,12,3
classic_baseline,1,142.0,30,68,5
classic_baseline,1,142.0,17,49,3
classic_baseline,1,142.0,58,47,7
classic_baseline,1,143.0,85,95,5
classic_baseline,1,143.0,89,69,8
classic_baseline,1,143.0,53,75,1
classic_baseline,1,143.0,95,93,4
classic_baseline,1,143.0,19,53,6
classic_baseline,1,144.0,83,12,4
classic_baseline,1,144.0,62,78,3
classic_baseline,1,144.0,52,35,7
classic_baseline,1,144.0,4,88,1
classic_baseline,1,144.0,47,27,4
classic_baseline,1,145.0,56,30,4
classic_baseline,1,145.0,46,12,4
classic_baseline,1,145.0,87,47,4
classic_baseline,1,145.0,69,82,3
classic_baseline,1,145.0,45,7,2
classic_baseline,1,146.0,50,35,7
classic_baseline,1,146.0,24,15,4
classic_baseline,1,146.0,58,11,7
classic_baseline,1,146.0,84,27,9
classic_baseline,1,146.0,82,81,6
classic_baseline,1,147.0,76,2,7
classic_baseline,1,147.0,6,42,4
classic_baseline,1,147.0,31,16,3
