method,run_id,time,source,target,ml_avg_reliability,ml_min_reliability,ml_hops,base_avg_reliability,base_min_reliability,base_hops
ours,21,162.0,44,53,0.7080996880467164,0.5972704467831237,6,0.6546663953033296,0.5285236808012808,6
ours,21,162.0,61,60,0.5475983180860733,0.4741320617508451,2,0.49066009880113437,0.4741320617508451,2
ours,21,163.0,68,88,0.6754934212194469,0.5407330083935353,4,0.6647108496403636,0.5407330083935353,4
ours,21,163.0,20,89,0.42437029392491776,0.42437029392491776,1,0.42437029392491776,0.42437029392491776,1
ours,21,163.0,55,45,0.48876779490326694,0.48876779490326694,2,0.48876779490326694,0.48876779490326694,2
ours,21,163.0,88,73,0.6963497274355945,0.6376463505016372,3,0.6068719686923543,0.5798642152653355,3
ours,21,163.0,71,76,0.6380177497730879,0.534778186199319,4,0.5763156705520245,0.42437029392491776,4
ours,21,164.0,25,9,0.7167646772081889,0.6810414577326398,5,0.5713019002971687,0.5363833804922363,5
ours,21,164.0,92,85,0.49653299968496256,0.47505135809366683,4,0.48050893317466203,0.4358851040065559,4
ours,21,164.0,74,78,0.5239144768643479,0.5074603694146336,3,0.5239144768643479,0.5074603694146336,3
ours,21,164.0,18,41,0.6644521013280792,0.5251327623427683,6,0.47079358037587615,0.4358851040065559,4
ours,21,164.0,85,93,0.6843451037195372,0.5977970090685085,7,0.5834019025275549,0.5010776279554277,6
ours,21,165.0,95,94,0.7412233661705712,0.6777699028562858,8,0.49628249276649683,0.33181432150896106,6
ours,21,165.0,93,40,0.7212478557097273,0.5763446696125207,5,0.6312018291213362,0.47996892384670464,5
ours,21,165.0,58,18,0.6935227268266383,0.5387868486987636,4,0.5342517080156977,0.431447402204751,3
ours,21,165.0,63,40,0.7017799352806513,0.5763446696125207,4,0.5991325721058933,0.5287686983400444,3
ours,21,165.0,14,86,0.6337219392620675,0.6044675793692642,6,0.5233413455395004,0.47487863567045174,5
ours,21,166.0,52,33,0.5181229740081491,0.43391827422702467,4,0.4999548221628698,0.43391827422702467,4
ours,21,166.0,66,92,0.6554381772470006,0.5606952246393384,7,0.5701199412490757,0.43391827422702467,6
ours,21,166.0,0,57,0.5395561395511077,0.5135855530977602,2,0.5179126585263566,0.5135855530977602,2
ours,21,166.0,16,81,0.7205731465398398,0.7205731465398398,2,0.7205731465398398,0.7205731465398398,2
ours,21,166.0,57,81,0.5683985371104988,0.5135855530977602,3,0.5539695497606647,0.5135855530977602,3
ours,21,167.0,74,12,0.5665983207909017,0.4619460730404652,2,0.5665983207909017,0.4619460730404652,2
ours,21,167.0,4,27,0.7379527608378498,0.735608234225892,2,0.7379527608378498,0.735608234225892,2
ours,21,167.0,95,24,0.6902682181371682,0.3759702273919079,5,0.6837213628073481,0.3759702273919079,5
ours,21,167.0,53,89,0.6500091085233421,0.5784691504015693,4,0.4232463455996835,0.3759702273919079,3
ours,21,167.0,69,99,0.6759938218283569,0.5785246547787939,6,0.5925478769133109,0.45102561913015227,6
ours,21,168.0,21,76,0.685862655556155,0.6359043788933934,7,0.6463432841999143,0.5253679693119243,7
ours,21,168.0,48,27,0.6869037817094776,0.5693068619617125,5,0.6263638893304954,0.5253679693119243,5
ours,21,168.0,44,26,0.6652612467281076,0.4537932080006891,4,0.5982758245335955,0.4537932080006891,4
ours,21,168.0,24,86,0.7551123331206798,0.6910387167671838,4,0.7551123331206798,0.6910387167671838,4
ours,21,168.0,47,46,0.5821715624032349,0.5253679693119243,2,0.5821715624032349,0.5253679693119243,2
ours,21,169.0,2,38,0.687310888688767,0.57081809826859,8,0.6400023897830618,0.4389574430952048,7
ours,21,169.0,39,64,0.6591840745894767,0.5965093655504061,5,0.44063886537362984,0.40673573641736827,4
ours,21,169.0,15,89,0.5449665713859224,0.5192628112877778,2,0.5449665713859224,0.5192628112877778,2
ours,21,169.0,63,83,0.5282047780133249,0.4475947128364892,3,0.42832766432603053,0.3353961796058583,3
ours,21,169.0,58,52,0.574573116733106,0.574573116733106,1,0.574573116733106,0.574573116733106,1
ours,21,170.0,52,45,0.637858871822125,0.5494282101233763,6,0.562093314584399,0.4497592602060885,5
ours,21,170.0,45,69,0.7517120580705975,0.7377858824413537,7,0.5822705126770389,0.4323152486267363,6
ours,21,170.0,54,66,0.673304686817895,0.612450832739935,6,0.6181064176052303,0.5533805597362114,6
ours,21,170.0,97,42,0.6263508108784477,0.5178524961114288,4,0.4706602104593365,0.4323152486267363,4
ours,21,170.0,14,22,0.741581587394624,0.7205752511173422,3,0.7120972762688821,0.6957852743479536,3
ours,21,171.0,58,54,0.6054317673950458,0.5586991653051263,5,0.6005277476812377,0.551217430003142,5
ours,21,171.0,47,22,0.6752731497068646,0.3800995435045189,7,0.5608265651220407,0.3800995435045189,6
ours,21,171.0,70,76,0.6143249986669347,0.6105454836957758,3,0.5120384565513941,0.45758262676631745,3
ours,21,171.0,20,69,0.6571132746913458,0.526724316748002,7,0.465156459721542,0.3800995435045189,6
ours,21,171.0,55,48,0.6310512706119956,0.6209501161215474,5,0.6265158526466049,0.6105454836957758,5
ours,21,172.0,36,84,0.6694546210586089,0.6086072306033025,5,0.5197589596564226,0.5076977433294064,4
ours,21,172.0,88,87,0.6740956754605054,0.5016337487449989,2,0.6204562110303979,0.5016337487449989,2
ours,21,172.0,55,81,0.6716548076146477,0.6398016979267054,6,0.5788000096732631,0.5076977433294064,5
ours,21,172.0,36,89,0.549916902346917,0.4600321067671287,2,0.48386492504826756,0.4600321067671287,2
ours,21,172.0,79,12,0.628367510146387,0.5556952163678454,4,0.5708963838849478,0.5374929354358033,4
ours,21,173.0,2,78,0.6931364832818424,0.6325015052383682,3,0.6866928056190211,0.6325015052383682,3
ours,21,173.0,52,13,0.7233731085103136,0.6918675276817328,3,0.7233731085103136,0.6918675276817328,3
ours,21,173.0,63,95,0.6404801976536972,0.6092891074526432,4,0.5500476232571049,0.5079889317196573,4
ours,21,173.0,96,79,0.6630816323940137,0.6341596021319611,4,0.5574413633707629,0.501749768278269,4
ours,21,173.0,69,12,0.5153052332318221,0.5153052332318221,2,0.5153052332318221,0.5153052332318221,2
ours,21,174.0,81,56,0.7308218032063086,0.7179227571784033,4,0.668687245794952,0.6024302893467265,4
ours,21,174.0,64,74,0.7492957832896977,0.7029308978095672,5,0.6886796417886278,0.6521288789826735,4
ours,21,174.0,4,85,0.6145043918466604,0.5319125518207681,3,0.5835030332925716,0.485410513989635,3
ours,21,174.0,37,53,0.7214103364164489,0.6748414373643747,6,0.6845459665687971,0.5319125518207681,6
ours,21,174.0,27,28,0.6327060836289911,0.5690456555734669,4,0.5555730722340896,0.4147796327836639,4
ours,21,175.0,99,58,0.5432283995091858,0.5432283995091858,2,0.5432283995091858,0.5432283995091858,2
ours,21,175.0,70,48,0.659252183161164,0.4888083692039513,5,0.49936862356704026,0.37106034347967687,4
ours,21,175.0,14,25,0.6317767649548518,0.5740535497313346,4,0.6317767649548518,0.5740535497313346,4
ours,21,175.0,60,15,0.512628510204879,0.37106034347967687,3,0.4909706513416865,0.37106034347967687,3
ours,21,175.0,44,59,0.7044062604645424,0.6503256388079105,6,0.5231464243458195,0.44363802008798137,5
ours,21,176.0,52,82,0.7356210286910333,0.5993825132144185,4,0.5105767603081585,0.4263529643524362,4
ours,21,176.0,90,94,0.7499263837648572,0.6843806440234299,7,0.6025167339319998,0.4757985938205278,5
